YEAR,DATE,ROAD_CLASS,District,LATITUDE,LONGITUDE,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,INJURY,INITDIR,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Ward_Name,Ward_ID,Hood_ID,Hood_Name
2008,04-05-2008 09:30,Major Arterial,North York,43.71454538,-79.45479029,No,Clear,Natural,Dry,Non-Fatal Injury,Driver,20 to 24,Minor,South, , ,Yes, , , , , , , , ,Yes, ,Eglinton-Lawrence (15),15,31,Yorkdale-Glen Park (31)
2008,04-05-2008 09:30,Major Arterial,North York,43.71454538,-79.45479029,No,Clear,Natural,Dry,Non-Fatal Injury,Other Property Owner,unknown,unknown,Unknown, , ,Yes, , , , , , , , ,Yes, ,Eglinton-Lawrence (15),15,31,Yorkdale-Glen Park (31)
2009,19-03-2009 09:30,Major Arterial,Scarborough,43.71114538,-79.24819029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,40 to 44,None,East,Yes, ,Yes, , , , , , , , , , ,Scarborough Southwest (36),36,123,Cliffcrest (123)
2009,19-03-2009 09:30,Major Arterial,Scarborough,43.71114538,-79.24819029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,15 to 19,Major,North,Yes, ,Yes, , , , , , , , , , ,Scarborough Southwest (36),36,123,Cliffcrest (123)
2009,16-09-2009 09:30,Major Arterial,Toronto East York,43.66174538,-79.38989029,No,Clear,Natural,Dry,Non-Fatal Injury,Motorcycle Driver,20 to 24,Major,North, , , ,Yes, , , , ,Yes,Yes, , , ,Toronto Centre-Rosedale (27),27,76,Bay Street Corridor (76)
2009,05-12-2009 10:30,Major Arterial,North York,43.77384538,-79.44299029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,30 to 34,Major,South,Yes, ,Yes, , , , , , ,Yes,Yes, , ,Willowdale (23),23,37,Willowdale West (37)
2009,05-12-2009 10:30,Major Arterial,North York,43.77384538,-79.44299029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,unknown,None,East,Yes, ,Yes, , , , , , ,Yes,Yes, , ,Willowdale (23),23,37,Willowdale West (37)
2010,27-02-2010 10:30,Major Arterial,Etobicoke York,43.63084538,-79.48209029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,50 to 54,Major,South,Yes, ,Yes, , , , , , , , , , ,Etobicoke-Lakeshore (5),5,16,Stonegate-Queensway (16)
2010,27-02-2010 10:30,Major Arterial,Etobicoke York,43.63084538,-79.48209029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,50 to 54,Major,South,Yes, ,Yes, , , , , , , , , , ,Etobicoke-Lakeshore (5),5,16,Stonegate-Queensway (16)
2010,27-02-2010 10:30,Major Arterial,Etobicoke York,43.63084538,-79.48209029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,20 to 24,None,East,Yes, ,Yes, , , , , , , , , , ,Etobicoke-Lakeshore (5),5,16,Stonegate-Queensway (16)
2014,16-08-2014 09:30,Major Arterial,Toronto East York,43.66671713,-79.44645319,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Driver,35 to 39,None,South, , ,Yes,Yes, , , , , ,Yes, , , ,Davenport (18),18,93,Dovercourt-Wallace Emerson-Junction (93)
2014,16-08-2014 09:30,Major Arterial,Toronto East York,43.66671713,-79.44645319,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Motorcycle Driver,35 to 39,Major,North, , ,Yes,Yes, , , , , ,Yes, , , ,Davenport (18),18,93,Dovercourt-Wallace Emerson-Junction (93)
2015,13-06-2015 09:30,Major Arterial,Toronto East York,43.67471274,-79.3965951,Yes,Clear,Artificial,Dry,Fatal,Cyclist,25 to 29,Fatal,South, ,Yes,Yes, , , , , , , , , , ,Toronto Centre-Rosedale (27),27,95,Annex (95)
2015,13-06-2015 09:30,Major Arterial,Toronto East York,43.67471274,-79.3965951,Yes,Clear,Artificial,Dry,Fatal,Driver,15 to 19,None,North, ,Yes,Yes, , , , , , , , , , ,Toronto Centre-Rosedale (27),27,95,Annex (95)
2008,14-04-2008 09:30,Major Arterial,Etobicoke York,43.73464538,-79.60099029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Passenger,40 to 44,Major,Unknown, , ,Yes, , , , ,Yes, ,Yes, , , ,Etobicoke North (1),1,1,West Humber-Clairville (1)
2008,14-04-2008 09:30,Major Arterial,Etobicoke York,43.73464538,-79.60099029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Passenger,25 to 29,Major,Unknown, , ,Yes, , , , ,Yes, ,Yes, , , ,Etobicoke North (1),1,1,West Humber-Clairville (1)
2008,14-04-2008 09:30,Major Arterial,Etobicoke York,43.73464538,-79.60099029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Passenger,30 to 34,Minimal,Unknown, , ,Yes, , , , ,Yes, ,Yes, , , ,Etobicoke North (1),1,1,West Humber-Clairville (1)
2008,14-04-2008 09:30,Major Arterial,Etobicoke York,43.73464538,-79.60099029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,25 to 29,None,West, , ,Yes, , , , ,Yes, ,Yes, , , ,Etobicoke North (1),1,1,West Humber-Clairville (1)
2008,14-04-2008 09:30,Major Arterial,Etobicoke York,43.73464538,-79.60099029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Passenger,25 to 29,Major,Unknown, , ,Yes, , , , ,Yes, ,Yes, , , ,Etobicoke North (1),1,1,West Humber-Clairville (1)
2008,14-04-2008 09:30,Major Arterial,Etobicoke York,43.73464538,-79.60099029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Passenger,50 to 54,Major,Unknown, , ,Yes, , , , ,Yes, ,Yes, , , ,Etobicoke North (1),1,1,West Humber-Clairville (1)
2008,14-04-2008 09:30,Major Arterial,Etobicoke York,43.73464538,-79.60099029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown, , ,Yes, , , , ,Yes, ,Yes, , , ,Etobicoke North (1),1,1,West Humber-Clairville (1)
2008,14-04-2008 09:30,Major Arterial,Etobicoke York,43.73464538,-79.60099029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,35 to 39,None,West, , ,Yes, , , , ,Yes, ,Yes, , , ,Etobicoke North (1),1,1,West Humber-Clairville (1)
2008,13-06-2008 09:30,Major Arterial,North York,43.76914538,-79.34659029,No,Rain,Natural,Wet,Non-Fatal Injury,Driver,25 to 29,Minimal,South,Yes, ,Yes, , , , , , , , , , ,Don Valley East (33),33,53,Henry Farm (53)
2008,13-06-2008 09:30,Major Arterial,North York,43.76914538,-79.34659029,No,Rain,Natural,Wet,Non-Fatal Injury,Pedestrian,25 to 29,Major,Unknown,Yes, ,Yes, , , , , , , , , , ,Don Valley East (33),33,53,Henry Farm (53)
2012,03-03-2012 10:30,Major Arterial,Scarborough,43.70874538,-79.24979029,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Driver,70 to 74,None,West,Yes, ,Yes, , , , , , , , , , ,Scarborough Southwest (36),36,122,Birchcliffe-Cliffside (122)
2012,03-03-2012 10:30,Major Arterial,Scarborough,43.70874538,-79.24979029,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Pedestrian,45 to 49,Major,North,Yes, ,Yes, , , , , , , , , , ,Scarborough Southwest (36),36,122,Birchcliffe-Cliffside (122)
2014,26-05-2014 09:30,Major Arterial,North York,43.7603298,-79.36165247,No,Clear,Artificial,Dry,Non-Fatal Injury,Cyclist,50 to 54,Major,North, ,Yes, , , , , , , ,Yes, , , ,Don Valley West (25),25,40,St.Andrew-Windfields (40)
2014,26-05-2014 09:30,Major Arterial,North York,43.7603298,-79.36165247,No,Clear,Artificial,Dry,Non-Fatal Injury,Driver,unknown,None,North, ,Yes, , , , , , , ,Yes, , , ,Don Valley West (25),25,40,St.Andrew-Windfields (40)
2015,10-07-2015 09:30,Major Arterial,Etobicoke York,43.75361212,-79.58708582,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,35 to 39,None,North, , ,Yes, , ,Yes, ,Yes,Yes,Yes, ,Yes, ,Etobicoke North (1),1,2,Mount Olive-Silverstone-Jamestown (2)
2015,10-07-2015 09:30,Major Arterial,Etobicoke York,43.75361212,-79.58708582,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,50 to 54,None,North, , ,Yes, , ,Yes, ,Yes,Yes,Yes, ,Yes, ,Etobicoke North (1),1,2,Mount Olive-Silverstone-Jamestown (2)
2015,10-07-2015 09:30,Major Arterial,Etobicoke York,43.75361212,-79.58708582,Yes,Clear,Natural,Dry,Non-Fatal Injury,Passenger,50 to 54,Major,Unknown, , ,Yes, , ,Yes, ,Yes,Yes,Yes, ,Yes, ,Etobicoke North (1),1,2,Mount Olive-Silverstone-Jamestown (2)
2016,16-08-2016 09:30,Major Arterial,Etobicoke York,43.61230047,-79.56263361,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Cyclist,30 to 34,Major,South, ,Yes, , ,Yes, , , , , , , , ,Etobicoke-Lakeshore (5),5,14,Islington-City Centre West (14)
2016,16-08-2016 09:30,Major Arterial,Etobicoke York,43.61230047,-79.56263361,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Truck Driver,50 to 54,None,North, ,Yes, , ,Yes, , , , , , , , ,Etobicoke-Lakeshore (5),5,14,Islington-City Centre West (14)
2017,24-08-2017 09:30,Major Arterial,Scarborough,43.74876364,-79.31207667,No,Clear,Artificial,Dry,Fatal,Driver,40 to 44,None,North,Yes, ,Yes, , , , , , , , , , ,Scarborough Centre (37),37,119,Wexford/Maryvale (119)
2017,24-08-2017 09:30,Major Arterial,Scarborough,43.74876364,-79.31207667,No,Clear,Artificial,Dry,Fatal,Pedestrian,55 to 59,Fatal,Unknown,Yes, ,Yes, , , , , , , , , , ,Scarborough Centre (37),37,119,Wexford/Maryvale (119)
2017,29-09-2017 09:30,Major Arterial,North York,43.70812567,-79.39863215,Yes,Rain,Natural,Wet,Non-Fatal Injury,Driver,25 to 29,None,North,Yes, ,Yes, , , , , , , , , , ,St. Paul's (22),22,104,Mount Pleasant West (104)
2017,29-09-2017 09:30,Major Arterial,North York,43.70812567,-79.39863215,Yes,Rain,Natural,Wet,Non-Fatal Injury,Pedestrian,25 to 29,Major,West,Yes, ,Yes, , , , , , , , , , ,St. Paul's (22),22,104,Mount Pleasant West (104)
2010,24-05-2010 09:30,Major Arterial,Toronto East York,43.63244538,-79.41079029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Passenger,25 to 29,Major,Unknown, , ,Yes, , , , ,Yes, , , , , ,Trinity-Spadina (19),19,82,Niagara (82)
2010,24-05-2010 09:30,Major Arterial,Toronto East York,43.63244538,-79.41079029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown, , ,Yes, , , , ,Yes, , , , , ,Trinity-Spadina (19),19,82,Niagara (82)
2010,24-05-2010 09:30,Major Arterial,Toronto East York,43.63244538,-79.41079029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,25 to 29,Major,West, , ,Yes, , , , ,Yes, , , , , ,Trinity-Spadina (19),19,82,Niagara (82)
2008,03-10-2008 09:30,Expressway,Etobicoke York,43.63634451,-79.46689234,No,Clear,Natural,Dry,Fatal,Motorcycle Driver,35 to 39,Fatal,East, , ,Yes,Yes, , , ,Yes,Yes,Yes, , , ,Parkdale-High Park (13),13,85,South Parkdale (85)
2008,03-10-2008 09:30,Expressway,Etobicoke York,43.63634451,-79.46689234,No,Clear,Natural,Dry,Fatal,Driver,40 to 44,None,East, , ,Yes,Yes, , , ,Yes,Yes,Yes, , , ,Parkdale-High Park (13),13,85,South Parkdale (85)
2008,03-10-2008 09:30,Expressway,Etobicoke York,43.63634451,-79.46689234,No,Clear,Natural,Dry,Fatal,Vehicle Owner,unknown,unknown,Unknown, , ,Yes,Yes, , , ,Yes,Yes,Yes, , , ,Parkdale-High Park (13),13,85,South Parkdale (85)
2008,03-10-2008 09:30,Expressway,Etobicoke York,43.63634451,-79.46689234,No,Clear,Natural,Dry,Fatal,Passenger,30 to 34,None,Unknown, , ,Yes,Yes, , , ,Yes,Yes,Yes, , , ,Parkdale-High Park (13),13,85,South Parkdale (85)
2008,03-10-2008 09:30,Expressway,Etobicoke York,43.63634451,-79.46689234,No,Clear,Natural,Dry,Fatal,Driver,30 to 34,None,East, , ,Yes,Yes, , , ,Yes,Yes,Yes, , , ,Parkdale-High Park (13),13,85,South Parkdale (85)
2008,03-10-2008 09:30,Expressway,Etobicoke York,43.63634451,-79.46689234,No,Clear,Natural,Dry,Fatal,Passenger,30 to 34,None,Unknown, , ,Yes,Yes, , , ,Yes,Yes,Yes, , , ,Parkdale-High Park (13),13,85,South Parkdale (85)
2010,21-10-2010 09:30,Major Arterial,Toronto East York,43.67524538,-79.38049029,No,Clear,Natural,Dry,Non-Fatal Injury,Driver,45 to 49,None,South,Yes, ,Yes, , , , , , , , , , ,Toronto Centre-Rosedale (27),27,98,Rosedale-Moore Park (98)
2010,21-10-2010 09:30,Major Arterial,Toronto East York,43.67524538,-79.38049029,No,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,35 to 39,Major,Unknown,Yes, ,Yes, , , , , , , , , , ,Toronto Centre-Rosedale (27),27,98,Rosedale-Moore Park (98)
2011,21-09-2011 09:30,Major Arterial,Toronto East York,43.68334538,-79.32359029,Yes,Rain,Natural,Wet,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Yes, ,Yes, , , , , , ,Yes, , , ,Beaches-East York (32),32,64,Woodbine Corridor (64)
2011,21-09-2011 09:30,Major Arterial,Toronto East York,43.68334538,-79.32359029,Yes,Rain,Natural,Wet,Non-Fatal Injury,Driver,30 to 34,None,South,Yes, ,Yes, , , , , , ,Yes, , , ,Beaches-East York (32),32,64,Woodbine Corridor (64)
2011,21-09-2011 09:30,Major Arterial,Toronto East York,43.68334538,-79.32359029,Yes,Rain,Natural,Wet,Non-Fatal Injury,Pedestrian,55 to 59,Major,North,Yes, ,Yes, , , , , , ,Yes, , , ,Beaches-East York (32),32,64,Woodbine Corridor (64)
2008,22-07-2008 09:30,Major Arterial,Toronto East York,43.65474538,-79.40699029,No,Rain,Natural,Wet,Non-Fatal Injury,Driver,60 to 64,None,North,Yes, ,Yes, , , , , , , , , , ,Trinity-Spadina (20),20,78,Kensington-Chinatown (78)
2008,22-07-2008 09:30,Major Arterial,Toronto East York,43.65474538,-79.40699029,No,Rain,Natural,Wet,Non-Fatal Injury,Pedestrian,50 to 54,Major,East,Yes, ,Yes, , , , , , , , , , ,Trinity-Spadina (20),20,78,Kensington-Chinatown (78)
2008,25-10-2008 09:30,Collector,Etobicoke York,43.69674538,-79.50589029,Yes,Clear,Natural,Dry,Fatal,Other,35 to 39,None,South,Yes, ,Yes, , , , , , , , , , ,York South-Weston (11),11,113,Weston (113)
2008,25-10-2008 09:30,Collector,Etobicoke York,43.69674538,-79.50589029,Yes,Clear,Natural,Dry,Fatal,Vehicle Owner,unknown,unknown,Unknown,Yes, ,Yes, , , , , , , , , , ,York South-Weston (11),11,113,Weston (113)
2008,25-10-2008 09:30,Collector,Etobicoke York,43.69674538,-79.50589029,Yes,Clear,Natural,Dry,Fatal,Pedestrian,20 to 24,Fatal,East,Yes, ,Yes, , , , , , , , , , ,York South-Weston (11),11,113,Weston (113)
2013,05-08-2013 09:30,Minor Arterial,Toronto East York,43.67159994,-79.3249322,No,Clear,Natural,Dry,Non-Fatal Injury,Driver,60 to 64,None,East,Yes, ,Yes, , , , , , , , , , ,Beaches-East York (32),32,65,Greenwood-Coxwell (65)
2013,05-08-2013 09:30,Minor Arterial,Toronto East York,43.67159994,-79.3249322,No,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,85 to 89,Major,South,Yes, ,Yes, , , , , , , , , , ,Beaches-East York (32),32,65,Greenwood-Coxwell (65)
2007,03-08-2007 09:30,Major Arterial,Scarborough,43.83104538,-79.27519029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,45 to 49,None,South,Yes, ,Yes, , , , , , , , , , ,Scarborough-Rouge River (41),41,130,Milliken (130)
2007,03-08-2007 09:30,Major Arterial,Scarborough,43.83104538,-79.27519029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,45 to 49,Major,West,Yes, ,Yes, , , , , , , , , , ,Scarborough-Rouge River (41),41,130,Milliken (130)
2008,22-07-2008 09:30,Major Arterial,Toronto East York,43.66514538,-79.41119029,Yes,Rain,Natural,Wet,Non-Fatal Injury,Driver,unknown,None,East,Yes, ,Yes, , , , , , , , , , ,Trinity-Spadina (20),20,95,Annex (95)
2008,22-07-2008 09:30,Major Arterial,Toronto East York,43.66514538,-79.41119029,Yes,Rain,Natural,Wet,Non-Fatal Injury,Pedestrian,45 to 49,Major,Unknown,Yes, ,Yes, , , , , , , , , , ,Trinity-Spadina (20),20,95,Annex (95)
2014,12-05-2014 09:30,Collector,Scarborough,43.79279288,-79.20698939,No,Rain,Natural,Wet,Non-Fatal Injury,Driver,unknown,unknown,East,Yes, , , , , , , , , , , , ,Scarborough East (43),43,135,Morningside (135)
2014,12-05-2014 09:30,Collector,Scarborough,43.79279288,-79.20698939,No,Rain,Natural,Wet,Non-Fatal Injury,Pedestrian,40 to 44,Major,East,Yes, , , , , , , , , , , , ,Scarborough East (43),43,135,Morningside (135)
2015,01-07-2015 09:30,Major Arterial,Etobicoke York,43.71699866,-79.53727351,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Driver,40 to 44,Major,West, , ,Yes, ,Yes, , ,Yes, ,Yes, ,Yes, ,York West (7),7,23,Pelmo Park-Humberlea (23)
2015,01-07-2015 09:30,Major Arterial,Etobicoke York,43.71699866,-79.53727351,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Truck Driver,50 to 54,None,West, , ,Yes, ,Yes, , ,Yes, ,Yes, ,Yes, ,York West (7),7,23,Pelmo Park-Humberlea (23)
2015,01-07-2015 09:30,Major Arterial,Etobicoke York,43.71699866,-79.53727351,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Passenger,40 to 44,Minor,Unknown, , ,Yes, ,Yes, , ,Yes, ,Yes, ,Yes, ,York West (7),7,23,Pelmo Park-Humberlea (23)
2015,01-07-2015 09:30,Major Arterial,Etobicoke York,43.71699866,-79.53727351,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Passenger,45 to 49,Major,Unknown, , ,Yes, ,Yes, , ,Yes, ,Yes, ,Yes, ,York West (7),7,23,Pelmo Park-Humberlea (23)
2017,03-06-2017 09:30,Major Arterial,North York,43.67528113,-79.45473109,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Driver,unknown,None,West, ,Yes,Yes, , , , , , ,Yes, , , ,Davenport (17),17,92,Corso Italia-Davenport (92)
2017,03-06-2017 09:30,Major Arterial,North York,43.67528113,-79.45473109,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Cyclist,40 to 44,Major,West, ,Yes,Yes, , , , , , ,Yes, , , ,Davenport (17),17,92,Corso Italia-Davenport (92)
2017,25-09-2017 09:30,Major Arterial,North York,43.77004965,-79.52064143,No,Clear,Artificial,Dry,Non-Fatal Injury,Driver,55 to 59,None,North,Yes, ,Yes, , , , , ,Yes,Yes, , , ,York West (8),8,24,Black Creek (24)
2017,25-09-2017 09:30,Major Arterial,North York,43.77004965,-79.52064143,No,Clear,Artificial,Dry,Non-Fatal Injury,Pedestrian,25 to 29,Major,East,Yes, ,Yes, , , , , ,Yes,Yes, , , ,York West (8),8,24,Black Creek (24)
2017,01-12-2017 10:30,Major Arterial,Scarborough,43.7518688,-79.28660212,No,Clear,Natural,Dry,Fatal,Driver,55 to 59,None,North,Yes, ,Yes, , , , , , , , , , ,Scarborough Centre (37),37,126,Dorset Park (126)
2017,01-12-2017 10:30,Major Arterial,Scarborough,43.7518688,-79.28660212,No,Clear,Natural,Dry,Fatal,Pedestrian,65 to 69,Fatal,East,Yes, ,Yes, , , , , , , , , , ,Scarborough Centre (37),37,126,Dorset Park (126)
2008,04-09-2008 09:30,Major Arterial,Toronto East York,43.66384538,-79.38419029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Yes, ,Yes, , , , , , ,Yes, ,Yes, ,Toronto Centre-Rosedale (27),27,76,Bay Street Corridor (76)
2008,04-09-2008 09:30,Major Arterial,Toronto East York,43.66384538,-79.38419029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,20 to 24,None,East,Yes, ,Yes, , , , , , ,Yes, ,Yes, ,Toronto Centre-Rosedale (27),27,76,Bay Street Corridor (76)
2008,04-09-2008 09:30,Major Arterial,Toronto East York,43.66384538,-79.38419029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Pedestrian,35 to 39,Major,East,Yes, ,Yes, , , , , , ,Yes, ,Yes, ,Toronto Centre-Rosedale (27),27,76,Bay Street Corridor (76)
2014,22-02-2014 10:30,Major Arterial,Toronto East York,43.65271338,-79.36324702,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Driver,40 to 44,None,South, , , , , ,Yes, ,Yes, , , , , ,Toronto Centre-Rosedale (28),28,73,Moss Park (73)
2014,22-02-2014 10:30,Major Arterial,Toronto East York,43.65271338,-79.36324702,Yes,Clear,Artificial,Dry,Non-Fatal Injury,Passenger,25 to 29,Major,Unknown, , , , , ,Yes, ,Yes, , , , , ,Toronto Centre-Rosedale (28),28,73,Moss Park (73)
2007,26-07-2007 09:30,Major Arterial,Toronto East York,43.67894538,-79.34479029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Driver,unknown,None,West, ,Yes,Yes, , , , , , ,Yes, , , ,Toronto-Danforth (30),30,69,Blake-Jones (69)
2007,26-07-2007 09:30,Major Arterial,Toronto East York,43.67894538,-79.34479029,Yes,Clear,Natural,Dry,Non-Fatal Injury,Cyclist,15 to 19,Major,West, ,Yes,Yes, , , , , , ,Yes, , , ,Toronto-Danforth (30),30,69,Blake-Jones (69)
